Date,Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,ManagerHome,ManagerAway,FormationHome,FormationAway,RatingTeamHome,RatingTeamAway,Stadium,Weather,Referee,StartTeamHome,RatingStartTeamHome,SubstitutionHome,RatingSubstitutionHome,StartTeamAway,RatingStartTeamAway,SubstitutionAway,RatingSubstitutionAway,TotalShotsHome,TotalShotsAway,PossessionHome,PossessionAway,PassAccuracyHome,PassAccuracyAway,DribblesHome,DribblesAway,AerialsWonHome,AerialsWonAway,TacklesHome,TacklesAway,CornersHome,CornersAway,DispossessedHome,DispossessedAway,GoalsHome,GoalsAway,AssistsHome,AssistsAway,YellowCardHome,YellowCardAway,RedCardHome,RedCardAway
07-Mar-20,12:30,Liverpool,2,1,Bournemouth,Jürgen Klopp,Eddie Howe,4-3-3,4-1-4-1,7.07,6.54,Anfield,Clear,Paul Tierney,"Adrián, Trent Alexander-Arnold, Virgil van Dijk, Joseph Gomez, James Milner, Fabinho, Georginio Wijnaldum, Alex Oxlade-Chamberlain, Mohamed Salah, Roberto Firmino, Sadio Mané, Aaron Ramsdale","6.4, 7.0, 7.8, 7.0, 7.8, 6.5, 6.5, 7.0, 8.5, 6.5, 8.7, 6.7","Adam Lallana, Divock Origi, Joel Matip, Naby Keita, Takumi Minamino, Andy Lonergan, Neco Williams","6.2, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0","Jack Stacey, Nathan Aké, Steve Cook, Adam Smith, Jefferson Lerma, Ryan Fraser, Philip Billing, Lewis Cook, Junior Stanislas, Callum Wilson","6.2, 6.9, 6.6, 6.8, 7.1, 6.4, 7.0, 6.4, 6.5, 7.3","Dominic Solanke, Jack Simpson, Dan Gosling, Artur Boruc, Andrew Surman, Diego Rico, Sam Surridge","6.2, 5.4, 6.0, 6.0, 6.0, 6.0, 6.0",14,6,74.5,25.5,85,61,14,6,19,19,7,9,9,4,3,4,"Mohamed Salah, Sadio Mané",Callum Wilson,"Sadio Mané, Virgil van Dijk",Jefferson Lerma,0,1,0,0
07-Mar-20,15:00,Sheff Utd,1,0,Norwich,Chris Wilder,Daniel Farke,3-5-2,4-2-3-1,7.11,6.59,Bramall Lane,Clear,Simon Hooper,"Dean Henderson, John Egan, Chris Basham, Jack O'Connell, George Baldock, Enda Stevens, John Lundstram, John Fleck, Oliver Norwood, Billy Sharp, Oliver McBurnie, Tim Krul","7.9, 7.2, 8.1, 7.1, 7.0, 6.4, 7.6, 7.4, 7.0, 7.6, 7.1, 6.6","Ben Osborn, Sander Berge, David McGoldrick, Lys Mousset, Panagiotis Retsos, Michael Verrips, Phil Jagielka","6.3, 6.0, 6.8, 6.0, 6.0, 6.0, 6.0","Max Aarons, Ben Godfrey, Grant Hanley, Jamal Lewis, Alexander Tettey, Kenny McLean, Emiliano Buendía, Ondrej Duda, Todd Cantwell, Teemu Pukki","6.1, 7.1, 7.2, 6.1, 6.8, 7.3, 6.8, 6.6, 6.0, 6.7","Josip Drmic, Adam Idah, Mario Vrancic, Lukas Rupp, Marco Stiepermann, Christoph Zimmermann, Michael McGovern","6.2, 6.0, 6.9, 6.0, 6.0, 6.0, 6.0",10,12,41.8,58.2,74,81,12,10,20,23,14,18,10,5,10,13,Billy Sharp,,John Lundstram,,0,0,0,0
07-Mar-20,15:00,Southampton,0,1,Newcastle,Ralph Hasenhüttl,Steve Bruce,4-4-2,4-4-2,6.56,6.82,St. Mary's Stadium,Clear,Graham Scott,"Alex McCarthy, Yan Valery, Jan Bednarek, Jack Stephens, Ryan Bertrand, Sofiane Boufal, Pierre-Emile Højbjerg, James Ward-Prowse, Moussa Djenepo, Shane Long, Danny Ings, Martin Dubravka","8.8, 5.9, 6.8, 6.1, 6.7, 6.8, 6.6, 6.8, 5.2, 7.0, 6.5, 7.0","Che Adams, Michael Obafemi, Kevin Danso, Jannik Vestergaard, Oriol Romeu, Kyle Walker-Peters, Angus Gunn","5.9, 6.1, 6.0, 6.0, 6.0, 6.0, 6.0","Javier Manquillo, Federico Fernández, Jamaal Lascelles, Danny Rose, Matt Ritchie, Isaac Hayden, Jonjo Shelvey, Allan Saint-Maximin, Miguel Almirón, Dwight Gayle","6.7, 6.8, 7.1, 6.5, 6.2, 7.2, 7.4, 8.6, 6.8, 6.5","Sean Longstaff, Joelinton, Valentino Lazaro, Nabil Bentaleb, Fabian Schär, DeAndre Yedlin, Karl Darlow","6.1, 6.3, 6.4, 6.0, 6.0, 6.0, 6.0",6,14,38,62,69,81,11,15,19,14,19,15,5,8,11,6,,Allan Saint-Maximin,,,0,3,1,0
07-Mar-20,15:00,Wolves,0,0,Brighton,Nuno Espírito Santo,Graham Potter,3-5-2,4-3-3,6.81,6.73,Molineux Stadium,Clear,Andre Marriner,"Rui Patrício, Willy Boly, Romain Saïss, Conor Coady, Matt Doherty, Rúben Vinagre, Leander Dendoncker, Rúben Neves, João Moutinho, Raúl Jiménez, Diogo Jota, Mat Ryan","6.6, 7.3, 6.7, 7.1, 7.0, 7.1, 7.2, 6.6, 6.9, 6.3, 6.8, 7.0","Adama Traoré, Daniel Podence, Oskar Buur, Pedro Neto, Bruno Jordão, John Ruddy, Maximilian Kilman","6.8, 6.1, 6.0, 6.0, 6.0, 6.0, 6.0","Martín Montoya, Adam Webster, Lewis Dunk, Dan Burn, Aaron Mooy, Yves Bissouma, Davy Pröpper, Solly March, Neal Maupay, Leandro Trossard","6.7, 7.0, 7.1, 7.3, 7.3, 7.8, 6.8, 6.6, 6.1, 6.3","Dale Stephens, Alireza Jahanbakhsh, Alexis Mac Allister, Pascal Groß, Shane Duffy, Glenn Murray, David Button","6.2, 6.2, 6.0, 6.0, 6.0, 6.0, 6.0",11,7,43.1,56.9,75,83,16,10,20,20,22,23,2,0,11,9,,,,,1,3,0,0
07-Mar-20,15:00,Crystal Palace,1,0,Watford,Roy Hodgson,Nigel Pearson,4-3-3,4-2-3-1,7.37,6.42,Selhurst Park,Clear,Anthony Taylor,"Vicente Guaita, Joel Ward, Gary Cahill, Scott Dann, Patrick van Aanholt, James McCarthy, Cheikhou Kouyaté, James McArthur, Jordan Ayew, Christian Benteke, Wilfried Zaha, Ben Foster","7.7, 6.5, 7.8, 7.1, 7.4, 7.7, 7.3, 7.4, 8.0, 7.9, 7.4, 6.2","Luka Milivojevic, Max Meyer, Jeffrey Schlupp, Jairo Riedewald, Martin Kelly, Andros Townsend, Wayne Hennessey","6.3, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0","Kiko Femenía, Christian Kabasele, Craig Cathcart, Adam Masina, Etienne Capoue, Will Hughes, Ismaila Sarr, Abdoulaye Doucouré, Roberto Pereyra, Troy Deeney","7.1, 7.0, 6.2, 6.8, 6.4, 6.2, 5.9, 7.2, 6.0, 6.8","Danny Welbeck, Andre Gray, Ignacio Pussetto, Heurelho Gomes, Adrian Mariappa, Craig Dawson, Nathaniel Chalobah","6.1, 6.0, 6.1, 6.0, 6.0, 6.0, 6.0",10,10,44.2,55.8,72,75,14,4,31,34,21,22,8,8,13,12,Jordan Ayew,,James McArthur,,4,4,0,0
07-Mar-20,15:00,Arsenal,1,0,West Ham,Mikel Arteta,David Moyes,4-2-3-1,4-4-2,7.08,6.50,Emirates Stadium,Clear,Martin Atkinson,"Bernd Leno, Sokratis, David Luiz, Pablo Marí, Bukayo Saka, Dani Ceballos, Granit Xhaka, Nicolas Pépé, Mesut Özil, Pierre-Emerick Aubameyang, Eddie Nketiah, Lukasz Fabianski","8.2, 7.2, 7.3, 7.4, 7.7, 8.0, 6.7, 6.4, 7.3, 7.0, 6.3, 6.2","Reiss Nelson, Héctor Bellerín, Alexandre Lacazette, Emiliano Martínez, Gabriel Martinelli, Matteo Guendouzi, Joseph Willock","6.4, 6.1, 7.2, 6.0, 6.0, 6.0, 6.0","Jeremy Ngakia, Issa Diop, Angelo Ogbonna, Aaron Cresswell, Jarrod Bowen, Mark Noble, Declan Rice, Pablo Fornals, Sébastien Haller, Michail Antonio","6.4, 7.5, 6.4, 6.6, 6.8, 6.4, 6.8, 6.6, 7.0, 6.3","Robert Snodgrass, Tomas Soucek, Felipe Anderson, Pablo Zabaleta, Manuel Lanzini, Darren Randolph, Fabián Balbuena","6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0",9,14,68.9,31.1,85,69,12,4,22,24,13,11,6,7,6,6,Alexandre Lacazette,,Mesut Özil,,1,2,0,0
07-Mar-20,17:30,Burnley,1,1,Tottenham,Sean Dyche,José Mourinho,4-4-2,3-4-2-1,6.93,6.69,Turf Moor,Clear,Jonathan Moss,"Nick Pope, Phil Bardsley, Ben Mee, James Tarkowski, Charlie Taylor, Jeff Hendrick, Jack Cork, Ashley Westwood, Dwight McNeil, Chris Wood, Jay Rodriguez, Hugo Lloris","5.9, 7.0, 7.0, 7.4, 6.7, 6.8, 7.4, 7.1, 7.8, 7.5, 7.1, 7.6","Aaron Lennon, Matej Vydra, Robbie Brady, Kevin Long, Erik Pieters, Joe Hart, Josh Brownhill","6.1, 6.2, 6.0, 6.0, 6.0, 6.0, 6.0","Toby Alderweireld, Davinson Sánchez, Eric Dier, Japhet Tanganga, Jan Vertonghen, Tanguy Ndombele, Oliver Skipp, Erik Lamela, Steven Bergwijn, Dele Alli","6.4, 6.8, 6.9, 7.8, 6.5, 6.3, 6.5, 6.7, 6.2, 6.8","Serge Aurier, Lucas Moura, Giovani Lo Celso, Paulo Gazzaniga, Gedson Fernandes, Ryan Sessegnon, Harry Winks","6.1, 6.8, 6.3, 6.0, 6.0, 6.0, 6.0",21,13,45,55,74,74,12,9,29,17,24,14,3,5,9,16,Chris Wood,Dele Alli,,,5,4,0,0
08-Mar-20,14:00,Chelsea,4,0,Everton,Frank Lampard,Carlo Ancelotti,4-3-3,4-4-2,7.55,6.12,Stamford Bridge,,Kevin Friend,"Kepa Arrizabalaga, César Azpilicueta, Kurt Zouma, Antonio Rüdiger, Marcos Alonso, Ross Barkley, Mason Mount, Billy Gilmour, Willian, Olivier Giroud, Pedro, Jordan Pickford","7.0, 7.5, 6.6, 7.3, 6.9, 9.8, 9.0, 7.0, 9.3, 8.3, 8.5, 7.3","Armando Broja, Faustino Anjorin, Reece James, Willy Caballero, Michy Batshuayi, Andreas Christensen, Fikayo Tomori","6.0, 6.2, 6.4, 6.0, 6.0, 6.0, 6.0","Djibril Sidibé, Michael Keane, Mason Holgate, Lucas Digne, Bernard, André Gomes, Tom Davies, Gylfi Sigurdsson, Richarlison, Dominic Calvert-Lewin","6.7, 6.2, 6.1, 6.2, 6.2, 5.7, 5.6, 5.4, 6.4, 5.7","Anthony Gordon, Theo Walcott, Moise Kean, Yerry Mina, Maarten Stekelenburg, Alex Iwobi, Leighton Baines","6.3, 5.8, 6.1, 6.0, 6.0, 6.0, 6.0",17,3,60.2,39.8,89,79,20,11,17,19,13,15,6,1,8,10,"Mason Mount, Pedro, Willian, Olivier Giroud",,"Pedro, Ross Barkley, Ross Barkley, Willian",,1,2,0,0
08-Mar-20,16:30,Man Utd,2,0,Man City,Ole Gunnar Solskjær,Josep Guardiola,3-4-1-2,4-3-3,7.16,6.25,Old Trafford,Clear,Mike Dean,"David de Gea, Victor Lindelöf, Luke Shaw, Harry Maguire, Aaron Wan-Bissaka, Fred, Nemanja Matic, Brandon Williams, Bruno Fernandes, Anthony Martial, Daniel James, Ederson","7.5, 7.4, 6.5, 7.0, 8.5, 7.1, 7.4, 6.8, 7.2, 7.8, 7.0, 4.4","Eric Bailly, Scott McTominay, Odion Ighalo, Sergio Romero, Juan Mata, Axel Tuanzebe, Mason Greenwood","6.5, 7.2, 6.3, 6.0, 6.0, 6.0, 6.0","João Cancelo, Nicolás Otamendi, Fernandinho, Oleksandr Zinchenko, Ilkay Gündogan, Bernardo Silva, Rodrigo, Phil Foden, Sergio Agüero, Raheem Sterling","7.5, 6.7, 6.2, 6.1, 6.5, 6.2, 6.7, 6.7, 6.1, 6.0","Benjamin Mendy, Gabriel Jesus, Riyad Mahrez, Claudio Bravo, Eric García, David Silva, Kyle Walker","5.7, 6.3, 6.5, 6.0, 6.0, 6.0, 6.0",12,7,27.7,72.3,73,89,12,18,8,11,19,15,2,11,4,11,"Anthony Martial, Scott McTominay",,Bruno Fernandes,,2,4,0,0
09-Mar-20,20:00,Leicester,4,0,Aston Villa,Brendan Rodgers,Dean Smith,4-1-4-1,4-1-4-1,7.35,5.92,King Power Stadium,Clear,Michael Oliver,"Kasper Schmeichel, Ricardo Pereira, Çaglar Söyüncü, Jonny Evans, James Justin, Wilfred Ndidi, Marc Albrighton, Dennis Praet, James Maddison, Harvey Barnes, Kelechi Iheanacho, Pepe Reina","6.9, 7.5, 7.5, 7.4, 7.4, 7.1, 8.1, 7.3, 7.5, 9.4, 6.1, 4.7","Jamie Vardy, Nampalys Mendy, Youri Tielemans, Christian Fuchs, Wes Morgan, Ayoze Pérez, Danny Ward","7.8, 6.2, 6.6, 6.0, 6.0, 6.0, 6.0","Frederic Guilbert, Björn Engels, Tyrone Mings, Matt Targett, Marvelous Nakamba, Ahmed El Mohamady, Douglas Luiz, Conor Hourihane, Jack Grealish, Mbwana Samatta","6.7, 5.9, 6.1, 5.9, 5.8, 6.3, 5.6, 6.5, 5.9, 6.1","Keinan Davis, Anwar El Ghazi, Trézéguet, Ørjan Nyland, Ezri Konsa Ngoyo, Daniel Drinkwater, Neil Taylor","5.7, 5.8, 6.0, 6.0, 6.0, 6.0, 6.0",15,4,64.6,35.4,82,69,9,5,18,15,24,23,9,0,8,14,"Harvey Barnes, Jamie Vardy, Jamie Vardy, Harvey Barnes",,"Marc Albrighton, Marc Albrighton",,2,1,0,0
01-Feb-20,12:30,Leicester,2,2,Chelsea,Brendan Rodgers,Frank Lampard,4-1-4-1,4-2-3-1,6.69,6.69,King Power Stadium,Clear,Lee Mason,"Kasper Schmeichel, Ricardo Pereira, Çaglar Söyüncü, Jonny Evans, Ben Chilwell, Hamza Choudhury, Ayoze Pérez, Youri Tielemans, James Maddison, Harvey Barnes, Jamie Vardy, Willy Caballero","5.8, 6.5, 6.9, 6.2, 7.2, 7.2, 6.5, 7.4, 7.4, 7.0, 6.8, 6.1","Kelechi Iheanacho, Dennis Praet, Christian Fuchs, Demarai Gray, James Justin, Marc Albrighton, Danny Ward","6.0, 6.1, 6.0, 6.0, 6.0, 6.0, 6.0","Reece James, Andreas Christensen, Antonio Rüdiger, César Azpilicueta, N'Golo Kanté, Jorginho, Callum Hudson-Odoi, Mason Mount, Pedro, Tammy Abraham","6.9, 6.2, 8.4, 6.8, 6.9, 6.6, 6.7, 7.7, 6.6, 6.4","Ross Barkley, Mateo Kovacic, Willian, Michy Batshuayi, Kepa Arrizabalaga, Marcos Alonso, Fikayo Tomori","6.0, 6.3, 6.2, 6.0, 6.0, 6.0, 6.0",14,7,49.7,50.3,77,78,7,16,17,17,25,15,4,6,8,18,"Harvey Barnes, Ben Chilwell","Antonio Rüdiger, Antonio Rüdiger","Youri Tielemans, Youri Tielemans","Mason Mount, Mason Mount",2,2,0,0
01-Feb-20,15:00,Liverpool,4,0,Southampton,Jürgen Klopp,Ralph Hasenhüttl,4-3-3,4-4-2,7.48,6.19,Anfield,Clear,Kevin Friend,"Alisson, Trent Alexander-Arnold, Virgil van Dijk, Joseph Gomez, Andrew Robertson, Fabinho, Georginio Wijnaldum, Jordan Henderson, Mohamed Salah, Roberto Firmino, Alex Oxlade-Chamberlain, Alex McCarthy","7.7, 6.7, 7.8, 7.3, 7.8, 7.3, 7.1, 9.0, 9.4, 8.1, 8.0, 6.4","Adam Lallana, Takumi Minamino, Naby Keita, Divock Origi, Joel Matip, Dejan Lovren, Adrián","6.2, 5.8, 6.5, 6.0, 6.0, 6.0, 6.0","James Ward-Prowse, Jan Bednarek, Jack Stephens, Ryan Bertrand, Moussa Djenepo, Pierre-Emile Højbjerg, Oriol Romeu, Nathan Redmond, Shane Long, Danny Ings","6.9, 6.6, 5.7, 6.3, 6.2, 6.2, 5.9, 5.4, 6.2, 7.2","Che Adams, Sofiane Boufal, Michael Obafemi, Kevin Danso, Jannik Vestergaard, Angus Gunn, William Smallbone","5.8, 6.1, 5.7, 6.0, 6.0, 6.0, 6.0",16,17,61.5,38.5,76,64,8,10,16,17,14,18,6,11,12,10,"Alex Oxlade-Chamberlain, Jordan Henderson, Mohamed Salah, Mohamed Salah",,"Roberto Firmino, Roberto Firmino, Jordan Henderson, Roberto Firmino",,0,2,0,0
01-Feb-20,15:00,Newcastle,0,0,Norwich,Steve Bruce,Daniel Farke,5-4-1,4-2-3-1,6.94,6.93,St. James' Park,Clear,Martin Atkinson,"Martin Dubravka, DeAndre Yedlin, Federico Fernández, Ciaran Clark, Jamaal Lascelles, Matt Ritchie, Miguel Almirón, Nabil Bentaleb, Isaac Hayden, Allan Saint-Maximin, Joelinton, Tim Krul","7.2, 6.4, 7.5, 7.3, 6.9, 7.6, 6.9, 7.3, 6.3, 7.9, 7.0, 8.2","Danny Rose, Sean Longstaff, Valentino Lazaro, Florian Lejeune, Christian Atsu, Fabian Schär, Karl Darlow","6.3, 6.5, 6.3, 6.0, 6.0, 6.0, 6.0","Max Aarons, Christoph Zimmermann, Grant Hanley, Sam Byram, Alexander Tettey, Kenny McLean, Lukas Rupp, Ondrej Duda, Todd Cantwell, Teemu Pukki","6.8, 6.9, 7.7, 7.4, 6.6, 7.5, 6.6, 7.5, 6.6, 6.3","Onel Hernández, Mario Vrancic, Emiliano Buendía, Ralf Fährmann, Tom Trybull, Josip Drmic, Jamal Lewis","6.0, 6.0, 7.0, 6.0, 6.0, 6.0, 6.0",15,19,43.4,56.6,80,81,9,12,22,25,15,10,8,12,5,11,,,,,2,1,0,0
01-Feb-20,15:00,Watford,2,3,Everton,Nigel Pearson,Carlo Ancelotti,4-2-3-1,4-4-2,6.54,6.72,Vicarage Road,Clear,Craig Pawson,"Ben Foster, Adrian Mariappa, Christian Kabasele, Craig Cathcart, Adam Masina, Etienne Capoue, Nathaniel Chalobah, Roberto Pereyra, Abdoulaye Doucouré, Gerard Deulofeu, Troy Deeney, Jordan Pickford","6.0, 6.2, 6.0, 6.5, 7.7, 7.8, 6.4, 6.9, 6.1, 6.9, 7.5, 5.7","Danny Welbeck, Isaac Success, Ignacio Pussetto, Heurelho Gomes, José Holebas, Will Hughes, Andre Gray","6.2, 5.7, 5.8, 6.0, 6.0, 6.0, 6.0","Djibril Sidibé, Yerry Mina, Mason Holgate, Lucas Digne, Theo Walcott, Gylfi Sigurdsson, Fabian Delph, Alex Iwobi, Richarlison, Dominic Calvert-Lewin","7.8, 8.6, 7.0, 6.6, 6.8, 7.4, 5.2, 6.0, 7.3, 6.7","Michael Keane, Moise Kean, Morgan Schneiderlin, Bernard, Séamus Coleman, Maarten Stekelenburg, Leighton Baines","6.4, 6.5, 6.2, 6.0, 6.0, 6.0, 6.0",11,12,44.6,55.4,69,74,7,11,33,26,15,22,4,4,9,10,"Adam Masina, Roberto Pereyra","Yerry Mina, Yerry Mina, Theo Walcott","Gerard Deulofeu, Troy Deeney",Gylfi Sigurdsson,2,4,0,1
01-Feb-20,15:00,West Ham,3,3,Brighton,David Moyes,Graham Potter,4-1-4-1,4-2-3-1,6.77,6.78,London Stadium,Clear,Michael Oliver,"Lukasz Fabianski, Ryan Fredericks, Issa Diop, Angelo Ogbonna, Aaron Cresswell, Declan Rice, Robert Snodgrass, Tomas Soucek, Mark Noble, Michail Antonio, Sébastien Haller, Mat Ryan","6.0, 6.8, 6.8, 5.7, 6.4, 6.9, 9.2, 7.2, 6.6, 7.9, 7.6, 6.4","Pablo Fornals, Arthur Masuaku, Manuel Lanzini, Pablo Zabaleta, Darren Randolph, Fabián Balbuena, Albian Ajeti","6.1, 5.8, 5.9, 6.0, 6.0, 6.0, 6.0","Martín Montoya, Adam Webster, Lewis Dunk, Bernardo, Davy Pröpper, Dale Stephens, Pascal Groß, Aaron Mooy, Leandro Trossard, Glenn Murray","6.4, 6.3, 6.3, 6.8, 7.2, 7.0, 8.1, 5.8, 6.6, 7.7","Solly March, Ezequiel Schelotto, Steven Alzate, Neal Maupay, Alireza Jahanbakhsh, David Button, Aaron Connolly","7.1, 6.3, 6.0, 6.0, 6.0, 6.0, 6.0",12,19,35.1,64.9,74,84,12,7,28,28,23,19,4,6,9,14,"Issa Diop, Robert Snodgrass, Robert Snodgrass","Angelo Ogbonna, Pascal Groß, Glenn Murray",Robert Snodgrass,Davy Pröpper,1,1,0,0
01-Feb-20,15:00,Bournemouth,2,1,Aston Villa,Eddie Howe,Dean Smith,4-3-3,3-4-3,7.10,6.51,Vitality Stadium,,Anthony Taylor,"Aaron Ramsdale, Adam Smith, Nathan Aké, Simon Francis, Diego Rico, Jefferson Lerma, Philip Billing, Dan Gosling, Harry Wilson, Callum Wilson, Ryan Fraser, Pepe Reina","5.7, 6.6, 7.6, 7.7, 7.7, 6.0, 9.1, 7.2, 7.2, 6.5, 7.0, 6.3","Artur Boruc, Andrew Surman, Sam Surridge, Lewis Cook, Dominic Solanke, Steve Cook, Junior Stanislas","6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0","Ezri Konsa Ngoyo, Kortney Hause, Tyrone Mings, Frederic Guilbert, Matt Targett, Douglas Luiz, Marvelous Nakamba, Anwar El Ghazi, Mbwana Samatta, Jack Grealish","5.6, 6.2, 6.1, 6.3, 6.7, 6.4, 6.0, 6.1, 7.5, 8.3","Keinan Davis, Trézéguet, Björn Engels, Ahmed El Mohamady, Conor Hourihane, Ørjan Nyland, Henri Lansbury","6.8, 6.0, 6.8, 6.0, 6.0, 6.0, 6.0",16,17,39.6,60.4,62,76,7,10,31,27,12,5,1,8,3,6,"Philip Billing, Nathan Aké",Mbwana Samatta,Dan Gosling,,3,3,1,0
